Rc,rep,seed,best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec
2.5,2,4527,72,0.865576,0.001988,0.845852,0.844525,0.021012,606.943
2.5,3,4528,102,0.864191,0.001933,0.850130,0.848956,0.021046,642.714
2.5,4,4529,115,0.860018,0.001744,0.864805,0.863733,0.018358,779.351
2.5,5,4530,94,0.859003,0.002021,0.843287,0.842073,0.020720,630.982
2.5,6,4531,86,0.867239,0.001946,0.849118,0.847896,0.020520,653.257
2.5,7,4532,114,0.862351,0.001934,0.850063,0.849033,0.020621,706.633
2.5,8,4533,66,0.861522,0.002099,0.837276,0.836053,0.020489,642.552
2.5,9,4534,77,0.864517,0.001989,0.845816,0.844573,0.020237,637.764
3.0,0,5025,90,0.864071,0.001878,0.854398,0.853036,0.019463,755.971
3.0,1,5026,112,0.859622,0.001902,0.852536,0.851095,0.018847,746.984
3.0,2,5027,88,0.867728,0.001902,0.852502,0.851336,0.018372,784.954
3.0,3,5028,95,0.868502,0.001997,0.845146,0.843854,0.020364,760.486
3.0,4,5029,83,0.867608,0.002172,0.831630,0.830114,0.022795,648.894
3.0,5,5030,96,0.863461,0.002052,0.840907,0.839517,0.020352,689.616
3.0,6,5031,74,0.863469,0.002150,0.833273,0.831779,0.020608,703.969
3.0,7,5032,95,0.865439,0.001928,0.850552,0.849205,0.019867,718.545
3.0,8,5033,133,0.857262,0.002079,0.838840,0.837377,0.021207,791.831
3.0,9,5034,86,0.866418,0.001874,0.854704,0.853462,0.018389,700.797
3.5,0,5525,99,0.855671,0.001925,0.850712,0.849655,0.020315,797.663
3.5,1,5526,132,0.856379,0.001761,0.863438,0.862496,0.018720,902.945
3.5,2,5527,119,0.862965,0.001988,0.845864,0.844256,0.022226,941.915
3.5,3,5528,112,0.858394,0.001891,0.853378,0.852008,0.019658,893.724
3.5,4,5529,96,0.858879,0.001936,0.849914,0.848630,0.020181,829.765
3.5,5,5530,94,0.863309,0.001923,0.850867,0.849495,0.020614,891.282
3.5,6,5531,102,0.857108,0.001852,0.856384,0.854972,0.020334,828.713
3.5,7,5532,124,0.864074,0.001835,0.857764,0.856382,0.019853,968.929
3.5,8,5533,128,0.868055,0.001790,0.861195,0.859685,0.019152,953.142
3.5,9,5534,95,0.858242,0.001884,0.853898,0.852795,0.019928,897.109
4.0,0,6025,141,0.858959,0.001858,0.855960,0.855163,0.021214,1012.055
4.0,1,6026,132,0.852421,0.001840,0.857317,0.856298,0.019224,879.272
4.0,2,6027,122,0.867960,0.001775,0.862346,0.861430,0.019580,929.297
4.0,3,6028,160,0.858247,0.001879,0.854288,0.853278,0.020577,1134.103
4.0,4,6029,118,0.851632,0.001984,0.846212,0.844837,0.021484,984.157
4.0,5,6030,139,0.854948,0.001793,0.861006,0.859940,0.019297,927.260
4.0,6,6031,116,0.851823,0.001877,0.854456,0.853594,0.018967,891.905
4.0,7,6032,93,0.854490,0.002037,0.842041,0.840831,0.022333,824.784
4.0,8,6033,106,0.853013,0.001945,0.849220,0.848058,0.021050,828.916
4.0,9,6034,168,0.866251,0.001858,0.855977,0.855010,0.020522,1112.052
4.5,0,6525,125,0.867976,0.001942,0.849413,0.848347,0.021237,958.732
4.5,1,6526,111,0.867599,0.001899,0.852742,0.851925,0.020253,987.259
4.5,2,6527,139,0.879596,0.001993,0.845459,0.844136,0.021559,1114.642
4.5,3,6528,148,0.870427,0.002002,0.844745,0.843775,0.020774,1145.579
4.5,4,6529,164,0.874448,0.002317,0.820355,0.818971,0.025764,1205.216
4.5,5,6530,126,0.871775,0.001902,0.852513,0.851942,0.019291,1022.413
4.5,6,6531,128,0.870366,0.001993,0.845454,0.844211,0.021748,1116.576
4.5,7,6532,152,0.869301,0.001959,0.848087,0.846907,0.021543,1077.615
4.5,8,6533,145,0.872872,0.001913,0.851653,0.850681,0.019844,1071.112
4.5,9,6534,139,0.870965,0.001930,0.850328,0.849231,0.020915,1112.006
5.0,0,7025,125,0.866436,0.002177,0.831196,0.830411,0.025269,997.402
5.0,1,7026,98,0.864770,0.002346,0.818127,0.817062,0.026610,979.984
5.0,2,7027,123,0.867822,0.002213,0.828454,0.827635,0.024815,1024.911
5.0,3,7028,104,0.860010,0.002070,0.839543,0.839239,0.021165,1016.881
5.0,4,7029,129,0.865993,0.002130,0.834852,0.834150,0.023760,1049.010
5.0,5,7030,121,0.869818,0.002041,0.841786,0.841024,0.022404,1132.709
5.0,6,7031,103,0.859852,0.002213,0.828421,0.827802,0.023090,959.173
5.0,7,7032,144,0.870991,0.002077,0.838993,0.838437,0.024644,1151.501
