Rc,rep,seed,best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec
4.5,9,6534,126,0.319635,0.008985,0.321315,0.317784,0.055385,887.346
5.0,0,7025,98,0.303839,0.009337,0.294685,0.291030,0.051808,848.732
5.0,1,7026,182,0.349424,0.009076,0.314408,0.310641,0.056129,1307.861
5.0,2,7027,101,0.299998,0.009482,0.283700,0.280024,0.052443,791.990
5.0,3,7028,191,0.320923,0.009474,0.284314,0.280544,0.057730,1411.846
5.0,4,7029,161,0.322781,0.009543,0.279136,0.275372,0.060581,1159.641
5.0,5,7030,105,0.294608,0.009617,0.273545,0.269485,0.054839,760.973
5.0,6,7031,83,0.300963,0.009340,0.294495,0.290689,0.052529,737.913
5.0,7,7032,75,0.292577,0.009326,0.295557,0.292130,0.051243,859.272
5.0,8,7033,91,0.293227,0.009520,0.280892,0.277226,0.051086,805.288
5.0,9,7034,138,0.322666,0.009554,0.278276,0.274214,0.058277,1014.246
6.0,0,8025,135,0.296764,0.009431,0.287562,0.284140,0.050524,989.041
6.0,1,8026,134,0.295964,0.009444,0.286626,0.283119,0.051545,990.909
6.0,2,8027,114,0.287940,0.009553,0.278406,0.274961,0.050967,894.985
6.0,3,8028,146,0.298832,0.009548,0.278752,0.275354,0.052454,1076.096
6.0,4,8029,183,0.310301,0.009311,0.296671,0.293893,0.054098,1335.920
6.0,5,8030,116,0.294834,0.009553,0.278340,0.275017,0.051010,861.342
6.0,6,8031,130,0.296502,0.009530,0.280096,0.276735,0.051832,923.883
6.0,7,8032,146,0.300420,0.009436,0.287179,0.283743,0.052365,1070.096
6.0,8,8033,108,0.293076,0.009646,0.271351,0.267672,0.052168,847.236
6.0,9,8034,112,0.295098,0.009643,0.271610,0.267955,0.050482,917.075
7.0,0,9025,126,0.301208,0.009401,0.289819,0.286028,0.051505,934.665
7.0,1,9026,186,0.317718,0.009283,0.298796,0.295054,0.054480,1362.446
7.0,2,9027,175,0.328885,0.009371,0.292159,0.288950,0.057620,1286.031
7.0,3,9028,162,0.338187,0.008861,0.330658,0.327287,0.056200,1233.225
7.0,4,9029,177,0.327388,0.009104,0.312282,0.309122,0.059380,1260.376
7.0,5,9030,151,0.380090,0.008458,0.361097,0.358778,0.053253,1284.227
7.0,6,9031,172,0.340348,0.008872,0.329826,0.326311,0.058153,1260.460
7.0,7,9032,162,0.310540,0.009220,0.303564,0.299746,0.055106,1192.315
7.0,8,9033,185,0.351830,0.008734,0.340262,0.337120,0.057642,1350.820
7.0,9,9034,187,0.320511,0.009165,0.307699,0.304119,0.055923,1369.981
8.0,0,10025,180,0.334420,0.008870,0.329941,0.326250,0.056590,1324.903
8.0,1,10026,155,0.322975,0.008928,0.325567,0.322111,0.057993,1145.206
8.0,2,10027,132,0.332603,0.008675,0.344691,0.341146,0.057753,1105.079
8.0,3,10028,196,0.355911,0.008776,0.337052,0.333503,0.064056,1426.194
8.0,4,10029,151,0.321712,0.008892,0.328267,0.324763,0.056633,1099.573
8.0,5,10030,143,0.325225,0.009004,0.319855,0.316348,0.055288,1061.539
8.0,6,10031,141,0.298978,0.009247,0.301471,0.298141,0.053438,1017.806
8.0,7,10032,124,0.320766,0.008924,0.325885,0.322622,0.058532,1050.997
8.0,8,10033,141,0.324441,0.009069,0.314948,0.311256,0.058716,1044.435
8.0,9,10034,140,0.325694,0.008767,0.337742,0.334552,0.059147,1124.096
9.0,0,11025,133,0.330079,0.008749,0.339116,0.335462,0.057225,1072.210
9.0,1,11026,159,0.331178,0.008762,0.338094,0.334447,0.058438,1217.373
9.0,2,11027,149,0.367809,0.008234,0.378004,0.375090,0.053262,1230.031
9.0,3,11028,157,0.338904,0.008674,0.344801,0.341186,0.059369,1165.241
9.0,4,11029,131,0.331199,0.008634,0.347819,0.344384,0.054291,1066.579
9.0,5,11030,155,0.318257,0.008992,0.320740,0.316909,0.057060,1196.146
9.0,6,11031,158,0.331075,0.008790,0.336040,0.332428,0.058818,1171.378
9.0,7,11032,147,0.335998,0.008836,0.332572,0.329020,0.056770,1091.626
9.0,8,11033,140,0.320508,0.009012,0.319214,0.314673,0.060296,1040.438
9.0,9,11034,111,0.339041,0.008284,0.374247,0.370624,0.054273,1095.266
10.0,0,12025,143,0.319207,0.008720,0.341315,0.337042,0.057857,1097.173
10.0,1,12026,124,0.323604,0.008696,0.343075,0.339458,0.057888,1049.245
10.0,2,12027,119,0.317094,0.008938,0.324816,0.320900,0.056333,919.784
10.0,3,12028,150,0.338269,0.008747,0.339245,0.335508,0.060066,1088.940
10.0,4,12029,144,0.319579,0.008849,0.331542,0.328304,0.055589,1057.471
10.0,5,12030,128,0.326634,0.008718,0.341418,0.337882,0.055800,987.252
10.0,6,12031,139,0.328826,0.008692,0.343405,0.339480,0.056672,1088.340
10.0,7,12032,114,0.330846,0.008742,0.339601,0.336059,0.055560,957.607
10.0,8,12033,134,0.321041,0.008718,0.341412,0.337471,0.055807,1011.144
10.0,9,12034,121,0.327956,0.008664,0.345560,0.341748,0.055061,991.675






